Light Up the Stage,3,sorcery,CCR
Lightning Bolt,4,instant,R
Goblin Guide,4,creature,R
Monestary Swiftspear,4,creature,R
Eidolon of the Great Revel,4,creature,RR
Lava Spike,4,sorcery,R
Boros Charm,4,instant,RW
Searing Blaze,3,instant,RR
Lightning Helix,2,instant,RW
Rift Bolt,2,sorcery,CCR
Skewer the Critics,4,sorcery,CCR
Skullcrack,2,instant,CR
Grim Lavamancer,1,creature,R
Wooded Foothills,3,land,none
Arid Mesa,3,land,none
Sunbaked Canyon,4,land,none
Sacred Foundry,2,land,none
Bloodstained Mire,3,land,none
Mountain,3,basic land,none
Stomping Grounds,1,land,none
